perf_id,campaign_id,inf_id,post_date,post_url,actual_cost,impressions,clicks,conversions,revenue,genai_comment_summary
1,DALBA-CAMP-148,yeonghwan48_instagram,2025-10-28,https://instagram.com/p/$btUWA*E3(1,731789,22275,482,7,230762,긍정 91%. '흡수력' 키워드 언급 다수.
2,DALBA-CAMP-013,yujin08_youtube,2025-10-28,https://instagram.com/p/s##1iWt(!8C,2724955,151915,2934,41,2369554,긍정 85%. '향기' 키워드 언급 다수.
3,DALBA-CAMP-073,yeongsig97_instagram,2025-10-28,https://instagram.com/p/vsg)0TYmJ&L,2993878,166948,4167,42,2356956,긍정 95%. '광채' 키워드 언급 다수.
4,DALBA-CAMP-174,baejinho_instagram,2025-10-28,https://instagram.com/p/W$3TV#wySeB,76182,5012,161,4,129576,긍정 90%. '패키징' 키워드 언급 다수.
5,DALBA-CAMP-115,dohyeon17_instagram,2025-10-28,https://instagram.com/p/*iONR3lRv8m,4985582,287154,6019,143,5860283,긍정 87%. '광채' 키워드 언급 다수.
6,DALBA-CAMP-044,iareum_instagram,2025-10-28,https://instagram.com/p/k6DLjgmn^vY,1688279,145283,2511,20,656680,긍정 82%. '패키징' 키워드 언급 다수.
7,DALBA-CAMP-178,munmisug_tiktok,2025-10-28,https://instagram.com/p/v(6fqjY4zi7,452439,19694,315,7,389557,긍정 81%. '향기' 키워드 언급 다수.
8,DALBA-CAMP-087,seonghyeon72_tiktok,2025-10-28,https://instagram.com/p/J)@P4A&m5w0,233390,2653,121,2,95056,긍정 92%. '흡수력' 키워드 언급 다수.
9,DALBA-CAMP-166,seunghyeon72_youtube,2025-10-28,https://instagram.com/p/)%pOA_ib7Ck,1580286,97909,2281,59,2402126,긍정 78%. '패키징' 키워드 언급 다수.
10,DALBA-CAMP-013,junho00_instagram,2025-10-28,https://instagram.com/p/&$z3JVIh@9G,2578760,111708,5156,116,6781824,긍정 94%. '패키징' 키워드 언급 다수.
11,DALBA-CAMP-191,jongsu20_youtube,2025-10-28,https://instagram.com/p/ukLcTp^I!o8,1968296,38187,1497,9,304893,긍정 86%. '패키징' 키워드 언급 다수.
12,DALBA-CAMP-091,gimboram_instagram,2025-10-28,https://instagram.com/p/A!j2So6)8#b,2702890,224619,2941,85,5060220,긍정 94%. '광채' 키워드 언급 다수.
13,DALBA-CAMP-112,imun_youtube,2025-10-28,https://instagram.com/p/@1jiWm)!99K,3660329,156507,3318,89,3952401,긍정 95%. '향기' 키워드 언급 다수.
14,DALBA-CAMP-123,ohyejin_instagram,2025-10-28,https://instagram.com/p/xf3kkGGm#NC,2301480,103596,5079,113,6633100,긍정 70%. '향기' 키워드 언급 다수.
15,DALBA-CAMP-179,minseobae_instagram,2025-10-28,https://instagram.com/p/f@p2UWiaO&k,4620877,325413,13538,396,16951968,긍정 72%. '흡수력' 키워드 언급 다수.
16,DALBA-CAMP-187,gyeongsug65_instagram,2025-10-28,https://instagram.com/p/*)ATGUTWRi9,4562342,402985,6416,108,4307580,긍정 93%. '향기' 키워드 언급 다수.
17,DALBA-CAMP-129,jeonghyii_instagram,2025-10-28,https://instagram.com/p/I0F3QBysd!*,1783765,20765,756,14,632786,긍정 73%. '광채' 키워드 언급 다수.
18,DALBA-CAMP-036,jeongung76_instagram,2025-10-28,https://instagram.com/p/uV7iSehTx&V,1855203,180715,3948,115,4401050,긍정 77%. '패키징' 키워드 언급 다수.
19,DALBA-CAMP-144,rgim_tiktok,2025-10-28,https://instagram.com/p/A0YXuS++#eR,3488924,224825,7467,117,5080959,긍정 74%. '향기' 키워드 언급 다수.
20,DALBA-CAMP-062,subinji_tiktok,2025-10-28,https://instagram.com/p/a0qGF*Sc+#r,4452162,204134,7126,85,4557445,긍정 80%. '향기' 키워드 언급 다수.
21,DALBA-CAMP-021,seoyeon54_youtube,2025-10-28,https://instagram.com/p/v_wU4Lr9y*F,1436313,127204,1578,25,1160750,긍정 74%. '흡수력' 키워드 언급 다수.
22,DALBA-CAMP-109,sangceol75_tiktok,2025-10-28,https://instagram.com/p/)Kx_Fc3z34),2614906,58120,949,9,464526,긍정 91%. '향기' 키워드 언급 다수.
23,DALBA-CAMP-004,xgim_tiktok,2025-10-28,https://instagram.com/p/@A%k8Hr1Xn1,1824481,92004,2394,34,1279964,긍정 94%. '흡수력' 키워드 언급 다수.
24,DALBA-CAMP-113,yeonggil12_tiktok,2025-10-28,https://instagram.com/p/DSj5oGXc&7z,4128301,211040,7042,145,4625065,긍정 82%. '패키징' 키워드 언급 다수.
25,DALBA-CAMP-177,seungminha_instagram,2025-10-28,https://instagram.com/p/h2&7RCj_@WT,615991,8771,121,2,116584,긍정 89%. '광채' 키워드 언급 다수.
26,DALBA-CAMP-065,igim_youtube,2025-10-28,https://instagram.com/p/WpABwwsda*1,4239308,338844,9582,214,8896836,긍정 94%. '흡수력' 키워드 언급 다수.
27,DALBA-CAMP-156,yeongsugi_youtube,2025-10-28,https://instagram.com/p/^t1V*psgz@t,3432889,82166,1653,9,473184,긍정 88%. '향기' 키워드 언급 다수.
28,DALBA-CAMP-120,migyeong71_tiktok,2025-10-28,https://instagram.com/p/BtF2WvJy#3H,2551439,123607,2009,49,2488563,긍정 88%. '광채' 키워드 언급 다수.
29,DALBA-CAMP-040,minsubag_tiktok,2025-10-28,https://instagram.com/p/)2LID+WmenQ,1954275,39643,1196,34,1650904,긍정 79%. '패키징' 키워드 언급 다수.
30,DALBA-CAMP-050,yunseobag_youtube,2025-10-28,https://instagram.com/p/R0Xy1&Jq^EE,758864,34168,441,7,310814,긍정 72%. '패키징' 키워드 언급 다수.
31,DALBA-CAMP-022,hyeonji47_tiktok,2025-10-28,https://instagram.com/p/(Oo^WhokFC7,2997596,298928,3275,39,1519674,긍정 78%. '향기' 키워드 언급 다수.
