inf_id,inf_name,platform,follower_count,avg_engagement_rate,main_category,estimated_cost_per_post,genai_brand_fit_score,genai_brand_fit_reason
jim_1,김미경,YouTube,63139,0.0288,뷰티,8660000,3.9,영한 이미지.
sunoggim_2,김수빈,Instagram,882161,0.1391,여행,8320000,1.6,클린한 이미지.
uhan_3,박수빈,YouTube,9069,0.0751,푸드,9790000,3.4,클린한 이미지.
ji_4,양현정,Instagram,795861,0.0514,라이프스타일,8060000,3.5,고급진 이미지.
yeongja49_5,신은경,Instagram,294285,0.1117,뷰티,4070000,3.6,영한 이미지.
minsu38_6,권도현,TikTok,1447069,0.0107,여행,2940000,3.0,영한 이미지.
mijeong56_7,최정웅,TikTok,1262127,0.0512,여행,6360000,4.1,클린한 이미지.
jiyeon42_8,김정식,YouTube,1449200,0.0524,패션,1370000,4.9,클린한 이미지.
seongsu36_9,류영숙,TikTok,770993,0.0976,라이프스타일,340000,3.8,클린한 이미지.
hayunan_10,한민수,YouTube,501146,0.141,뷰티,4160000,2.5,고급진 이미지.
vgim_11,장옥순,YouTube,241332,0.0139,라이프스타일,7640000,3.6,고급진 이미지.
hongmijeong_12,박서현,TikTok,1412245,0.1365,패션,4180000,4.8,전문적인 이미지.
cnam_13,김영호,TikTok,617792,0.1124,패션,780000,4.6,전문적인 이미지.
jgim_14,이서현,Instagram,861965,0.1101,라이프스타일,1130000,3.6,고급진 이미지.
gwaghyeonji_15,이준혁,YouTube,26066,0.0834,라이프스타일,80000,4.8,전문적인 이미지.
idoyun_16,박지훈,Instagram,878638,0.0955,라이프스타일,9430000,3.6,전문적인 이미지.
miyeongi_17,전아름,YouTube,1465602,0.1297,라이프스타일,1930000,2.5,전문적인 이미지.
eunseo04_18,심정자,Instagram,447977,0.0072,뷰티,7050000,4.6,전문적인 이미지.
geonu94_19,류정웅,Instagram,926490,0.071,패션,1300000,1.2,전문적인 이미지.
ggim_20,최예진,Instagram,223470,0.1102,라이프스타일,6630000,2.9,고급진 이미지.
baehyeonju_21,안예은,YouTube,1279713,0.0891,뷰티,9410000,4.7,영한 이미지.
bagseoyun_22,김채원,TikTok,1147209,0.1223,푸드,9890000,4.5,클린한 이미지.
nadohyeon_23,이성민,TikTok,1487859,0.057,패션,190000,1.6,고급진 이미지.
jihyeongim_24,이지혜,YouTube,850191,0.0815,패션,6620000,1.8,고급진 이미지.
sunog58_25,이서준,Instagram,205498,0.1392,푸드,3490000,1.5,클린한 이미지.
yeongho97_26,구현우,TikTok,1056783,0.0491,라이프스타일,2680000,4.7,고급진 이미지.
byeongceol57_27,이영순,Instagram,1196675,0.0337,뷰티,3490000,3.4,전문적인 이미지.
yeongsigi_28,민하은,YouTube,903538,0.0425,여행,4250000,2.8,클린한 이미지.
sanghonam_29,박수빈,YouTube,720095,0.0351,뷰티,5770000,3.5,영한 이미지.
bmun_30,김예준,TikTok,185562,0.0175,여행,4690000,4.7,고급진 이미지.
bagseonghun_31,최지훈,TikTok,803785,0.0754,뷰티,2520000,1.1,전문적인 이미지.
gimjeongsu_32,남서연,YouTube,223234,0.0091,라이프스타일,6780000,4.2,고급진 이미지.
sgim_33,진정자,Instagram,419427,0.1059,푸드,4730000,1.2,영한 이미지.
bagminjun_34,김지후,YouTube,264888,0.1056,푸드,9500000,2.8,영한 이미지.
yeongilheo_35,김영진,Instagram,245149,0.1181,푸드,7490000,2.3,영한 이미지.
sjeon_36,장진우,YouTube,1290136,0.1327,패션,1890000,1.6,고급진 이미지.
jinhyejin_37,이은서,YouTube,522034,0.0102,패션,4840000,4.9,클린한 이미지.
seungmin92_38,김승민,YouTube,1184121,0.083,푸드,1230000,4.8,영한 이미지.
hbag_39,강승현,TikTok,882681,0.0978,여행,4720000,3.6,영한 이미지.
fbag_40,최현주,YouTube,601117,0.0267,라이프스타일,120000,1.8,고급진 이미지.
borami_41,김지훈,TikTok,105001,0.0395,여행,1300000,2.0,전문적인 이미지.
gimjeongnam_42,김정숙,TikTok,771461,0.0353,뷰티,1430000,1.7,클린한 이미지.
minjaecoe_43,최정호,Instagram,124361,0.1042,뷰티,4580000,4.1,전문적인 이미지.
yeongjini_44,김영숙,Instagram,970552,0.0599,푸드,5020000,3.7,클린한 이미지.
gweonhyeonji_45,한준서,YouTube,1332671,0.0407,패션,2250000,2.6,전문적인 이미지.
caeweon89_46,이준서,Instagram,1158772,0.0675,푸드,8540000,4.8,클린한 이미지.
jinu58_47,이정숙,Instagram,237176,0.0917,패션,3490000,3.6,영한 이미지.
jiagim_48,김영호,Instagram,1023278,0.0701,패션,9140000,1.4,클린한 이미지.
kbag_49,김상철,YouTube,680500,0.1189,푸드,7230000,1.0,클린한 이미지.
